codecommune,canton1999
01001,0110
01002,0101
01004,0101
01005,0130
01006,0104
01007,0101
01008,0117
01009,0104
01010,0131
01011,0122
01012,0115
01013,0128
01014,0123
01015,0104
01016,0126
01017,0128
01019,0136
01021,0142
01022,0109
01023,0102
01024,0121
01025,0102
01026,0102
01027,0120
01028,0130
01029,0111
01030,0134
01031,0141
01032,0120
01033,0103
01034,0104
01035,0123
01036,0109
01037,0118
01038,0111
01039,0109
01040,0121
01041,0101
01042,0127
01043,0140
01044,0103
01045,0135
01046,0110
01047,0117
01049,0120
01050,0126
01051,0116
01052,0135
01053,0199
01054,0119
01056,0124
01057,0126
01058,0104
01059,0109
01060,0106
01061,0104
01062,0120
01063,0122
01064,0118
01065,0143
01066,0136
01067,0116
01068,0124
01069,0125
01071,0114
01072,0107
01073,0136
01074,0108
01075,0130
01076,0128
01077,0124
01078,0112
01079,0109
01080,0106
01081,0103
01082,0131
01083,0130
01084,0110
01085,0135
01087,0122
01088,0119
01089,0101
01090,0108
01091,0103
01092,0108
01093,0110
01094,0126
01095,0133
01096,0110
01097,0109
01098,0104
01099,0117
01100,0136
01101,0106
01102,0126
01103,0114
01104,0112
01105,0142
01106,0107
01107,0128
01108,0111
01109,0112
01110,0104
01111,0128
01112,0106
01113,0110
01114,0112
01115,0121
01116,0136
01117,0104
01118,0131
01119,0106
01121,0115
01122,0115
01123,0127
01124,0129
01125,0133
01127,0133
01128,0129
01129,0108
01130,0121
01133,0104
01134,0127
01135,0114
01136,0127
01138,0131
01139,0129
01140,0121
01141,0136
01142,0120
01143,0114
01144,0102
01145,0125
01146,0110
01147,0111
01148,0123
01149,0101
01150,0107
01151,0125
01152,0123
01153,0114
01154,0121
01155,0128
01156,0119
01157,0130
01158,0112
01159,0102
01160,0113
01162,0136
01163,0121
01165,0130
01166,0134
01167,0132
01169,0132
01170,0122
01171,0141
01172,0133
01173,0114
01174,0103
01175,0126
01176,0106
01177,0107
01179,0127
01180,0114
01181,0141
01182,0118
01183,0132
01184,0107
01185,0115
01186,0128
01187,0106
01188,0132
01189,0103
01190,0118
01191,0106
01192,0116
01193,0104
01194,0134
01195,0107
01196,0121
01197,0125
01198,0119
01199,0124
01200,0124
01202,0117
01203,0127
01204,0122
01205,0112
01206,0106
01207,0135
01208,0104
01209,0112
01210,0114
01211,0139
01212,0129
01213,0117
01214,0116
01215,0103
01216,0118
01218,0109
01219,0118
01221,0109
01224,0117
01225,0130
01227,0104
01228,0122
01229,0121
01230,0129
01231,0102
01232,0111
01233,0118
01234,0136
01235,0135
01236,0121
01237,0141
01238,0142
01239,0104
01240,0116
01241,0133
01242,0124
01243,0130
01244,0119
01245,0107
01246,0110
01247,0114
01248,0142
01249,0140
01250,0142
01252,0132
01254,0139
01255,0118
01257,0103
01258,0132
01259,0143
01260,0119
01261,0135
01262,0120
01263,0132
01264,0139
01265,0122
01266,0121
01267,0116
01268,0104
01269,0122
01271,0104
01272,0110
01273,0125
01274,0122
01275,0140
01276,0120
01277,0128
01279,0128
01280,0118
01281,0113
01282,0106
01283,0198
01284,0126
01285,0142
01286,0104
01288,0112
01289,0139
01290,0119
01291,0127
01292,0106
01293,0116
01294,0104
01295,0132
01296,0111
01297,0120
01298,0103
01299,0108
01300,0122
01301,0143
01302,0104
01303,0124
01304,0125
01305,0126
01306,0127
01307,0122
01308,0112
01309,0133
01310,0104
01311,0115
01312,0133
01313,0113
01314,0125
01316,0136
01317,0107
01318,0142
01319,0130
01320,0102
01321,0107
01322,0142
01323,0126
01325,0119
01328,0110
01329,0136
01330,0109
01331,0124
01332,0102
01333,0142
01334,0127
01335,0110
01336,0139
01337,0126
01338,0118
01339,0134
01340,0104
01341,0104
01342,0120
01343,0127
01344,0143
01345,0101
01346,0121
01347,0134
01348,0132
01349,0119
01350,0133
01351,0132
01352,0126
01353,0142
01354,0113
01355,0127
01356,0110
01357,0103
01358,0104
01359,0135
01360,0112
01361,0119
01362,0142
01363,0124
01364,0129
01365,0127
01366,0117
01367,0129
01368,0110
01369,0139
01370,0102
01371,0135
01372,0136
01373,0122
01374,0125
01375,0121
01376,0140
01378,0119
01379,0101
01380,0129
01381,0108
01382,0130
01383,0135
01384,0128
01385,0139
01386,0117
01387,0121
01388,0129
01389,0130
01390,0117
01391,0111
01392,0116
01393,0110
01396,0117
01397,0113
01398,0130
01399,0114
01400,0118
01401,0113
01402,0126
01403,0118
01404,0116
01405,0139
01406,0129
01407,0131
01408,0107
01409,0109
01410,0116
01411,0117
01412,0110
01413,0103
01414,0109
01415,0109
01416,0128
01417,0115
01418,0140
01419,0113
01420,0132
01421,0128
01422,0125
01423,0142
01424,0142
01425,0125
01426,0133
01427,0134
01428,0132
01429,0143
01430,0125
01431,0117
01432,0111
01433,0129
01434,0108
01435,0113
01436,0114
01437,0129
01439,0102
01441,0106
01442,0109
01443,0135
01444,0117
01445,0111
01446,0130
01447,0107
01448,0103
01449,0108
01450,0119
01451,0143
01452,0136
01453,0109
01454,0104
01456,0136
01457,0110
02001,0209
02002,0214
02003,0204
02004,0219
02005,0221
02006,0216
02007,0212
02008,0232
02009,0220
02010,0232
02011,0235
02012,0224
02013,0221
02014,0209
02015,0236
02016,0214
02017,0214
02018,0201
02019,0229
02020,0202
02021,0226
02022,0224
02023,0222
02024,0238
02025,0229
02026,0210
02027,0213
02028,0238
02029,0233
02030,0206
02031,0202
02032,0229
02033,0212
02034,0211
02035,0216
02036,0204
02037,0218
02038,0226
02039,0219
02040,0234
02041,0209
02042,0208
02043,0235
02044,0234
02046,0213
