codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
10081,3,FALSE,1029|1033|1096,1029,TRUE,split_10081
10323,3,FALSE,1020|1027|1097,1020,TRUE,split_10323
10387,8,FALSE,1022|1023|1024|1029|1030|1031|1032|1099,1022,TRUE,split_10387
1053,4,FALSE,0105|0137|0138|0199,0105,TRUE,split_1053
11069,5,FALSE,1107|1108|1132|1135|1198,1107,TRUE,split_11069
11076,3,FALSE,1109|1110|1199,1109,TRUE,split_11076
11262,4,FALSE,1124|1133|1134|1197,1124,TRUE,split_11262
12145,3,FALSE,1217|1244|1297,1217,TRUE,split_12145
12202,4,FALSE,1228|1245|1246|1298,1228,TRUE,split_12202
1283,3,FALSE,0123|0141|0198,0123,TRUE,split_1283
13001,4,FALSE,1301|1302|1347|1397,1301,TRUE,split_13001
13004,3,FALSE,1303|1304|1398,1303,TRUE,split_13004
13047,3,FALSE,1311|1349|1395,1311,TRUE,split_13047
13055,23,FALSE,1313|1314|1315|1316|1317|1318|1319|1320|1321|1322|1323|1324|1337|1338|1339|1340|1341|1342|1343|1344|1345|1346|1399,1313,TRUE,split_13055
13056,3,FALSE,1325|1350|1396,1325,TRUE,split_13056
14118,10,FALSE,1408|1409|1439|1440|1442|1443|1444|1445|1446|1497,1408,TRUE,split_14118
14258,3,FALSE,1417|1418|1498,1417,TRUE,split_14258
14327,3,FALSE,1441|1442|1493,1441,TRUE,split_14327
14366,4,FALSE,1421|1422|1449|1499,1421,TRUE,split_14366
15014,5,FALSE,1502|1503|1524|1525|1598,1502,TRUE,split_15014
15187,3,FALSE,1519|1520|1599,1519,TRUE,split_15187
16015,4,FALSE,1602|1603|1634|1698,1602,TRUE,split_16015
16102,3,FALSE,1613|1633|1697,1613,TRUE,split_16102
16106,3,FALSE,1614|1615|1699,1614,TRUE,split_16106
17299,4,FALSE,1721|1722|1747|1797,1721,TRUE,split_17299
17300,10,FALSE,1723|1724|1741|1742|1744|1745|1748|1749|1750|1798,1723,TRUE,split_17300
17306,3,FALSE,1725|1743|1796,1725,TRUE,split_17306
17415,4,FALSE,1734|1735|1751|1799,1734,TRUE,split_17415
18033,6,FALSE,1805|1831|1832|1833|1834|1898,1805,TRUE,split_18033
18279,3,FALSE,1829|1830|1899,1829,TRUE,split_18279
19031,6,FALSE,1906|1930|1931|1932|1933|1998,1906,TRUE,split_19031
19272,3,FALSE,1925|1926|1999,1925,TRUE,split_19272
19275,3,FALSE,1927|1937|1997,1927,TRUE,split_19275
21054,3,FALSE,2105|2106|2198,2105,TRUE,split_21054
21166,3,FALSE,2112|2138|2197,2112,TRUE,split_21166
21231,9,FALSE,2109|2110|2111|2112|2139|2140|2141|2142|2199,2109,TRUE,split_21231
22050,3,FALSE,2211|2212|2298,2211,TRUE,split_22050
22278,4,FALSE,2244|2245|2252|2299,2244,TRUE,split_22278
23096,4,FALSE,2319|2326|2327|2398,2319,TRUE,split_23096
24037,3,FALSE,2403|2448|2496,2403,TRUE,split_24037
2408,3,FALSE,0218|0238|0297,0218,TRUE,split_2408
24322,4,FALSE,2427|2449|2450|2497,2427,TRUE,split_24322
25056,7,FALSE,2505|2506|2528|2529|2532|2533|2599,2505,TRUE,split_25056
25388,3,FALSE,2514|2530|2595,2514,TRUE,split_25388
26108,3,FALSE,2607|2608|2699,2607,TRUE,split_26108
26198,3,FALSE,2616|2633|2696,2616,TRUE,split_26198
26281,3,FALSE,2621|2635|2697,2621,TRUE,split_26281
26362,5,FALSE,2629|2630|2631|2636|2698,2629,TRUE,split_26362
2691,4,FALSE,0228|0239|0240|0298,0228,TRUE,split_2691
27056,3,FALSE,2705|2741|2796,2705,TRUE,split_27056
2722,3,FALSE,0231|0241|0299,0231,TRUE,split_2722
27229,5,FALSE,2716|2717|2737|2738|2799,2716,TRUE,split_27229
27375,3,FALSE,2721|2739|2798,2721,TRUE,split_27375
27681,3,FALSE,2736|2740|2797,2736,TRUE,split_27681
28085,5,FALSE,2807|2825|2826|2830|2899,2807,TRUE,split_28085
28134,4,FALSE,2813|2827|2828|2897,2813,TRUE,split_28134
29019,11,FALSE,2903|2904|2905|2944|2945|2946|2947|2950|2953|2954|2999,2903,TRUE,split_29019
29232,4,FALSE,2935|2948|2952|2998,2935,TRUE,split_29232
2A004,8,FALSE,2A01|2A63|2A64|2A65|2A66|2A72|2A73|2A98,2A01,TRUE,split_2A004
2B033,7,FALSE,2B03|2B04|2B67|2B68|2B69|2B71|2B99,2B03,TRUE,split_2B033
30007,4,FALSE,3002|3003|3041|3098,3002,TRUE,split_30007
30189,8,FALSE,3017|3018|3019|3042|3043|3044|3045|3099,3017,TRUE,split_30189
