codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
10001,0,TRUE,NA,NA,FALSE,missing_canton_10001
10016,0,TRUE,NA,NA,FALSE,missing_canton_10016
1003,0,TRUE,NA,NA,FALSE,missing_canton_1003
10036,0,TRUE,NA,NA,FALSE,missing_canton_10036
10038,0,TRUE,NA,NA,FALSE,missing_canton_10038
10081,3,FALSE,1029|1033|1096,1029,TRUE,split_10081
10088,0,TRUE,NA,NA,FALSE,missing_canton_10088
10152,0,TRUE,NA,NA,FALSE,missing_canton_10152
1018,0,TRUE,NA,NA,FALSE,missing_canton_1018
1020,0,TRUE,NA,NA,FALSE,missing_canton_1020
10244,0,TRUE,NA,NA,FALSE,missing_canton_10244
10292,0,TRUE,NA,NA,FALSE,missing_canton_10292
10311,0,TRUE,NA,NA,FALSE,missing_canton_10311
10322,0,TRUE,NA,NA,FALSE,missing_canton_10322
10323,3,FALSE,1020|1027|1097,1020,TRUE,split_10323
10383,0,TRUE,NA,NA,FALSE,missing_canton_10383
10385,0,TRUE,NA,NA,FALSE,missing_canton_10385
10387,8,FALSE,1022|1023|1024|1029|1030|1031|1032|1099,1022,TRUE,split_10387
10407,0,TRUE,NA,NA,FALSE,missing_canton_10407
10413,0,TRUE,NA,NA,FALSE,missing_canton_10413
1048,0,TRUE,NA,NA,FALSE,missing_canton_1048
1053,4,FALSE,0105|0137|0138|0199,0105,TRUE,split_1053
1055,0,TRUE,NA,NA,FALSE,missing_canton_1055
1070,0,TRUE,NA,NA,FALSE,missing_canton_1070
1086,0,TRUE,NA,NA,FALSE,missing_canton_1086
11069,5,FALSE,1107|1108|1132|1135|1198,1107,TRUE,split_11069
11076,3,FALSE,1109|1110|1199,1109,TRUE,split_11076
1120,0,TRUE,NA,NA,FALSE,missing_canton_1120
11237,0,TRUE,NA,NA,FALSE,missing_canton_11237
1126,0,TRUE,NA,NA,FALSE,missing_canton_1126
11262,4,FALSE,1124|1133|1134|1197,1124,TRUE,split_11262
1131,0,TRUE,NA,NA,FALSE,missing_canton_1131
1132,0,TRUE,NA,NA,FALSE,missing_canton_1132
11349,0,TRUE,NA,NA,FALSE,missing_canton_11349
1137,0,TRUE,NA,NA,FALSE,missing_canton_1137
11403,0,TRUE,NA,NA,FALSE,missing_canton_11403
1161,0,TRUE,NA,NA,FALSE,missing_canton_1161
1164,0,TRUE,NA,NA,FALSE,missing_canton_1164
1168,0,TRUE,NA,NA,FALSE,missing_canton_1168
1178,0,TRUE,NA,NA,FALSE,missing_canton_1178
1201,0,TRUE,NA,NA,FALSE,missing_canton_1201
12132,0,TRUE,NA,NA,FALSE,missing_canton_12132
12145,3,FALSE,1217|1244|1297,1217,TRUE,split_12145
1217,0,TRUE,NA,NA,FALSE,missing_canton_1217
1220,0,TRUE,NA,NA,FALSE,missing_canton_1220
12202,4,FALSE,1228|1245|1246|1298,1228,TRUE,split_12202
1222,0,TRUE,NA,NA,FALSE,missing_canton_1222
1223,0,TRUE,NA,NA,FALSE,missing_canton_1223
1226,0,TRUE,NA,NA,FALSE,missing_canton_1226
12302,0,TRUE,NA,NA,FALSE,missing_canton_12302
12306,0,TRUE,NA,NA,FALSE,missing_canton_12306
1251,0,TRUE,NA,NA,FALSE,missing_canton_1251
1253,0,TRUE,NA,NA,FALSE,missing_canton_1253
