"...1","codecommune","reg","dep","nom","educNoDiplomaPerK1968","educNoDiplomaPerK1975","educNoDiplomaPerK1982","educNoDiplomaPerK1990","educNoDiplomaPerK1999","educNoDiplomaPerK2009","educNoDiplomaPerK2020","educCEPPerK1968","educCEPPerK1975","educCEPPerK1982","educCEPPerK1990","educCEPPerK1999","educCEPPerK2009","educCEPPerK2020","educBEPCPerK1968","educBEPCPerK1975","educBEPCPerK1982","educBEPCPerK1990","educBEPCPerK1999","educBEPCPerK2009","educBEPCPerK2020","educCAPBEPPerK1968","educCAPBEPPerK1975","educCAPBEPPerK1982","educCAPBEPPerK1990","educCAPBEPPerK1999","educCAPBEPPerK2009","educCAPBEPPerK2020","educBACPerK1968","educBACPerK1975","educBACPerK1982","educBACPerK1990","educBACPerK1999","educBACPerK2009","educBACPerK2020","educSUPPerK1968","educSUPPerK1975","educSUPPerK1982","educSUPPerK1990","educSUPPerK1999","educSUPPerK2009","educSUPPerK2020",".audit_education_name_key","zrr_nom",".audit_zrr_name_key",".audit_name_matches_zrr",".audit_row_id",".audit_nonzero_coverage",".audit_observed_coverage",".audit_selected"
669,"59285",32,"59","Escaufourt",0.0244814688881333,0,0,0,0,0,0,0.0176810608636518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272016320979259,0,0,0,0,0,0,0.00408024481468888,0,0,0,0,0,0,0,0,0,0,0,0,0,"escaufourt","Haspres","haspres",0,670,3,28,FALSE
724,"51344",32,"51","Gernicourt",0.025830258302583,0.00749063670411985,0.0105820105820106,0,0.00789473684210526,0.00295719844357977,0,0.003690036900369,0.00749063670411985,0.00264550264550264,0.00957510472770796,0.00526315789473684,0,0,0,0,0.00264550264550264,0,0.00526315789473684,0,0,0,0,0.00264550264550264,0.011968880909635,0.0131578947368421,0.0118287937743191,0,0.00738007380073801,0.00374531835205993,0.00793650793650794,0,0,0,0,0,0.00374531835205993,0.00264550264550264,0.00478755236385398,0,0.0118287937743191,0,"gernicourt","Mardeuil","mardeuil",0,725,16,28,FALSE
4770,"50507",28,"50","Pleines Oeuvres",0.245059288537549,0,0,0,0,0,0,0.0790513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00790513833992095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pleinesoeuvres","Saint-Marcouf","saintmarcouf",0,4771,2,28,FALSE
4775,"50513",28,"50","Pont-Farcy",0.838951310861423,1.30165289256198,1.03626943005181,1.06280193236715,0.679611650485437,0.59047619047619,0,0.314606741573034,0.516528925619835,0.373056994818653,0.309178743961353,0.388349514563107,0.266666666666667,0,0.0149812734082397,0.0413223140495868,0.0207253886010363,0.0772946859903382,0.135922330097087,0,0,0.0299625468164794,0.165289256198347,0.310880829015544,0.463768115942029,0.485436893203884,0.457142857142857,0,0.0449438202247191,0,0.145077720207254,0.0579710144927536,0.135922330097087,0.20952380952381,0,0.0149812734082397,0.0826446280991736,0.145077720207254,0.0772946859903382,0.0776699029126214,0.228571428571429,0,"pontfarcy","Saint-Martin-de-Cenilly","saintmartindecenilly",0,4776,23,28,FALSE
6585,"2A001",94,"2A","Afa",0.36036036036036,0.296662546353523,0,0,0,0,0,0.0900900900900901,0.123609394313968,0,0,0,0,0,0,0.0494437577255871,0,0,0,0,0,0.03003003003003,0.0494437577255871,0,0,0,0,0,0,0.0247218788627936,0,0,0,0,0,0,0,0,0,0,0,0,"afa","Afa","afa",1,6586,5,28,FALSE
6586,"2B002",94,"2B","Aghione",0.983606557377049,0.445682451253482,0,0,0,0,0,0,0.11142061281337,0,0,0,0,0,0,0.0557103064066852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aghione","Aghione","aghione",1,6587,2,28,FALSE
6587,"2B003",94,"2B","Aiti",0,0.975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48780487804878,0,0,0,0,0,0,0,0,0,0,0,0,"aiti","Aiti","aiti",1,6588,2,28,FALSE
6588,"2A004",94,"2A","Ajaccio",0.216621878482008,0.295368222916877,0,0,0,0,0,0.0950383430556466,0.0988202077241101,0,0,0,0,0,0.0422756767385462,0.0539477664616315,0,0,0,0,0,0.0222848528544275,0.0414271789183557,0,0,0,0,0,0.0291669397653536,0.0518469967396054,0,0,0,0,0,0.0111424264272137,0.0362172700077308,0,0,0,0,0,"ajaccio","Ajaccio","ajaccio",1,6589,8,28,FALSE
6589,"2B005",94,"2B","Alando",0.298507462686567,0,0,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"alando","Alando","alando",1,6590,1,28,FALSE
6590,"2A006",94,"2A","Alata",0.173611111111111,0.10948905109489,0,0,0,0,0,0.104166666666667,0.0364963503649635,0,0,0,0,0,0,0.0364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,"alata","Alata","alata",1,6591,3,28,FALSE
