join_name,relationship,left_rows,right_rows,output_rows,left_unique_keys,right_unique_keys,matched_left_keys,unmatched_left_keys,match_rate,cardinality_ok
ZRR + canton bridge,many-to-one,400857,39150,400857,36724,39150,36707,17,0.9995370874632393,TRUE
ZRR + FN presidential vote,many-to-one,400857,34867,400857,36724,34867,34820,1904,0.9481537958828015,TRUE
ZRR + FN European vote,many-to-one,400857,36118,400857,36724,36118,36098,626,0.9829539265875177,TRUE
ZRR + RPR presidential vote,many-to-one,400857,36579,400857,36724,36579,36557,167,0.9954525650800566,TRUE
ZRR + turnout,many-to-one,400857,34775,400857,36724,34775,34755,1969,0.9463838361834223,TRUE
controls + previous elections,many-to-one,1589898,34867,1589898,34563,34867,34449,114,0.9967016752018054,TRUE
controls + population long,one-to-one,1589898,1603376,1589898,1589898,1603376,1584700,5198,0.9967306078754737,TRUE
controls + population static,many-to-one,1589898,34856,1589898,34563,34856,34450,113,0.9967306078754737,TRUE
age-sex population + population long,many-to-one,4406260,1603376,4406260,2203130,1603376,1603330,599800,0.7277509724800625,TRUE
controls + age-sex shares,one-to-one,1589898,2203130,1589898,1589898,2203130,1584700,5198,0.9967306078754737,TRUE
employment + population denominators,many-to-one,34928,34856,34928,34928,34856,34815,113,0.9967647732478241,TRUE
controls + employment,one-to-one,1589898,1601360,1589898,1589898,1601360,1584682,5216,0.9967192863944732,TRUE
foreigners + population denominators,many-to-one,37261,34856,37261,37261,34856,34808,2453,0.9341670915971123,TRUE
controls + foreigners,one-to-one,1589898,1601168,1589898,1589898,1601168,1583826,6072,0.9961808870757747,TRUE
controls + age structure,one-to-one,1589898,289328,1589898,1589898,289328,275096,1314802,0.17302745207554196,TRUE
associations + population denominators,many-to-one,33633,34856,33633,33633,34856,33480,153,0.9954508964409955,TRUE
controls + associations,one-to-one,1589898,4118038,1589898,1589898,4118038,1522230,67668,0.9574387790914889,TRUE
controls + education,one-to-one,1589898,1637996,1589898,1589898,1637996,1584654,5244,0.9967016752018054,TRUE
controls + CSP,one-to-one,1589898,2291188,1589898,1589898,2291188,1578051,11847,0.9925485785880603,TRUE
controls + altitude surface,many-to-one,1589898,36742,1589898,34563,36742,34557,6,0.9998264039579897,TRUE
controls + agglomeration distance,many-to-one,1589898,34826,1589898,34563,34826,34450,113,0.9967306078754737,TRUE
controls + housing vacancy,one-to-one,1589898,1641426,1589898,1589898,1641426,1589898,0,1,TRUE
controls + taxable income,one-to-one,1589898,805222,1589898,1589898,805222,757064,832834,0.47617142734942747,TRUE
controls + rural urban typology,many-to-one,1589898,34968,1589898,34563,34968,34563,0,1,TRUE
