codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
10001,0,TRUE,NA,NA,FALSE,missing_canton_10001
10002,1,FALSE,1003,1003,FALSE,1003
10003,1,FALSE,1001,1001,FALSE,1001
10004,1,FALSE,1002,1002,FALSE,1002
10005,1,FALSE,1025,1025,FALSE,1025
10006,1,FALSE,1002,1002,FALSE,1002
10007,1,FALSE,1003,1003,FALSE,1003
10008,1,FALSE,1025,1025,FALSE,1025
10009,1,FALSE,1019,1019,FALSE,1019
1001,1,FALSE,0110,0110,FALSE,0110
10010,1,FALSE,1008,1008,FALSE,1008
10011,1,FALSE,1003,1003,FALSE,1003
10012,1,FALSE,1003,1003,FALSE,1003
10013,1,FALSE,1005,1005,FALSE,1005
10014,1,FALSE,1017,1017,FALSE,1017
10015,1,FALSE,1002,1002,FALSE,1002
10016,0,TRUE,NA,NA,FALSE,missing_canton_10016
10017,1,FALSE,1008,1008,FALSE,1008
10018,1,FALSE,1009,1009,FALSE,1009
10019,1,FALSE,1017,1017,FALSE,1017
1002,1,FALSE,0101,0101,FALSE,0101
10020,1,FALSE,1013,1013,FALSE,1013
10021,1,FALSE,1018,1018,FALSE,1018
10022,1,FALSE,1019,1019,FALSE,1019
10023,1,FALSE,1013,1013,FALSE,1013
10024,1,FALSE,1007,1007,FALSE,1007
10025,1,FALSE,1019,1019,FALSE,1019
10026,1,FALSE,1008,1008,FALSE,1008
10027,1,FALSE,1008,1008,FALSE,1008
10028,1,FALSE,1007,1007,FALSE,1007
10029,1,FALSE,1019,1019,FALSE,1019
1003,0,TRUE,NA,NA,FALSE,missing_canton_1003
10030,1,FALSE,1029,1029,FALSE,1029
10031,1,FALSE,1026,1026,FALSE,1026
10032,1,FALSE,1003,1003,FALSE,1003
10033,1,FALSE,1003,1003,FALSE,1003
10034,1,FALSE,1004,1004,FALSE,1004
10035,1,FALSE,1003,1003,FALSE,1003
10036,0,TRUE,NA,NA,FALSE,missing_canton_10036
10037,1,FALSE,1011,1011,FALSE,1011
10038,0,TRUE,NA,NA,FALSE,missing_canton_10038
10039,1,FALSE,1003,1003,FALSE,1003
1004,1,FALSE,0101,0101,FALSE,0101
