source,duplicate_type,codecommune,n
1999 canton bridge,commune,10081,3
1999 canton bridge,commune,10323,3
1999 canton bridge,commune,10387,8
1999 canton bridge,commune,1053,4
1999 canton bridge,commune,11069,5
1999 canton bridge,commune,11076,3
1999 canton bridge,commune,11262,4
1999 canton bridge,commune,12145,3
1999 canton bridge,commune,12202,4
1999 canton bridge,commune,1283,3
1999 canton bridge,commune,13001,4
1999 canton bridge,commune,13004,3
1999 canton bridge,commune,13047,3
1999 canton bridge,commune,13055,23
1999 canton bridge,commune,13056,3
1999 canton bridge,commune,14118,10
1999 canton bridge,commune,14258,3
1999 canton bridge,commune,14327,3
1999 canton bridge,commune,14366,4
1999 canton bridge,commune,15014,5
1999 canton bridge,commune,15187,3
1999 canton bridge,commune,16015,4
1999 canton bridge,commune,16102,3
1999 canton bridge,commune,16106,3
1999 canton bridge,commune,17299,4
1999 canton bridge,commune,17300,10
1999 canton bridge,commune,17306,3
1999 canton bridge,commune,17415,4
1999 canton bridge,commune,18033,6
1999 canton bridge,commune,18279,3
1999 canton bridge,commune,19031,6
1999 canton bridge,commune,19272,3
1999 canton bridge,commune,19275,3
1999 canton bridge,commune,21054,3
1999 canton bridge,commune,21166,3
1999 canton bridge,commune,21231,9
1999 canton bridge,commune,22050,3
1999 canton bridge,commune,22278,4
1999 canton bridge,commune,23096,4
1999 canton bridge,commune,24037,3
1999 canton bridge,commune,2408,3
1999 canton bridge,commune,24322,4
1999 canton bridge,commune,25056,7
1999 canton bridge,commune,25388,3
1999 canton bridge,commune,26108,3
1999 canton bridge,commune,26198,3
1999 canton bridge,commune,26281,3
1999 canton bridge,commune,26362,5
1999 canton bridge,commune,2691,4
1999 canton bridge,commune,27056,3
1999 canton bridge,commune,2722,3
1999 canton bridge,commune,27229,5
1999 canton bridge,commune,27375,3
1999 canton bridge,commune,27681,3
1999 canton bridge,commune,28085,5
1999 canton bridge,commune,28134,4
1999 canton bridge,commune,29019,11
1999 canton bridge,commune,29232,4
1999 canton bridge,commune,2A004,8
1999 canton bridge,commune,2B033,7
1999 canton bridge,commune,30007,4
1999 canton bridge,commune,30189,8
1999 canton bridge,commune,3095,3
1999 canton bridge,commune,31555,16
1999 canton bridge,commune,3185,6
1999 canton bridge,commune,3190,3
1999 canton bridge,commune,32013,5
1999 canton bridge,commune,33063,9
1999 canton bridge,commune,3310,3
1999 canton bridge,commune,33281,3
1999 canton bridge,commune,33318,3
1999 canton bridge,commune,34032,5
1999 canton bridge,commune,34172,11
1999 canton bridge,commune,34301,3
1999 canton bridge,commune,35115,3
1999 canton bridge,commune,35238,12
1999 canton bridge,commune,35288,3
1999 canton bridge,commune,35360,3
1999 canton bridge,commune,36044,5
1999 canton bridge,commune,36088,3
1999 canton bridge,commune,37122,3
1999 canton bridge,commune,37261,8
1999 canton bridge,commune,38053,3
1999 canton bridge,commune,38151,3
1999 canton bridge,commune,38169,3
1999 canton bridge,commune,38185,7
1999 canton bridge,commune,38421,3
1999 canton bridge,commune,38544,3
1999 canton bridge,commune,38567,3
1999 canton bridge,commune,39198,3
1999 canton bridge,commune,39300,3
1999 canton bridge,commune,40088,3
1999 canton bridge,commune,40192,3
1999 canton bridge,commune,40313,3
1999 canton bridge,commune,4070,3
1999 canton bridge,commune,41018,6
1999 canton bridge,commune,4112,4
1999 canton bridge,commune,41194,3
1999 canton bridge,commune,41269,3
1999 canton bridge,commune,42187,3
1999 canton bridge,commune,42207,3
1999 canton bridge,commune,42218,10
1999 canton bridge,commune,43005,3
1999 canton bridge,commune,43040,3
1999 canton bridge,commune,43157,6
1999 canton bridge,commune,44109,12
1999 canton bridge,commune,44143,3
