join_name,codecommune,year
ZRR + canton bridge,97601,NA
ZRR + canton bridge,97602,NA
ZRR + canton bridge,97603,NA
ZRR + canton bridge,97604,NA
ZRR + canton bridge,97605,NA
ZRR + canton bridge,97606,NA
ZRR + canton bridge,97607,NA
ZRR + canton bridge,97608,NA
ZRR + canton bridge,97609,NA
ZRR + canton bridge,97610,NA
ZRR + canton bridge,97611,NA
ZRR + canton bridge,97612,NA
ZRR + canton bridge,97613,NA
ZRR + canton bridge,97614,NA
ZRR + canton bridge,97615,NA
ZRR + canton bridge,97616,NA
ZRR + canton bridge,97617,NA
ZRR + FN presidential vote,1059,NA
ZRR + FN presidential vote,1091,NA
ZRR + FN presidential vote,1097,NA
ZRR + FN presidential vote,1119,NA
ZRR + FN presidential vote,1122,NA
ZRR + FN presidential vote,1144,NA
ZRR + FN presidential vote,1154,NA
ZRR + FN presidential vote,1172,NA
ZRR + FN presidential vote,1176,NA
ZRR + FN presidential vote,1182,NA
ZRR + FN presidential vote,1186,NA
ZRR + FN presidential vote,1205,NA
ZRR + FN presidential vote,1218,NA
ZRR + FN presidential vote,1221,NA
ZRR + FN presidential vote,1271,NA
ZRR + FN presidential vote,1292,NA
ZRR + FN presidential vote,1300,NA
ZRR + FN presidential vote,1312,NA
ZRR + FN presidential vote,1316,NA
ZRR + FN presidential vote,1340,NA
ZRR + FN presidential vote,1341,NA
ZRR + FN presidential vote,1409,NA
ZRR + FN presidential vote,1413,NA
ZRR + FN presidential vote,1414,NA
ZRR + FN presidential vote,1417,NA
ZRR + FN European vote,1093,NA
ZRR + FN European vote,1095,NA
ZRR + FN European vote,1141,NA
ZRR + FN European vote,1170,NA
ZRR + FN European vote,1176,NA
ZRR + FN European vote,1388,NA
ZRR + FN European vote,2117,NA
ZRR + FN European vote,2231,NA
ZRR + FN European vote,2319,NA
ZRR + FN European vote,2338,NA
ZRR + FN European vote,2485,NA
ZRR + FN European vote,2627,NA
ZRR + FN European vote,2663,NA
ZRR + FN European vote,4162,NA
ZRR + FN European vote,4175,NA
ZRR + FN European vote,4186,NA
ZRR + FN European vote,4190,NA
ZRR + FN European vote,4199,NA
ZRR + FN European vote,5002,NA
ZRR + FN European vote,5020,NA
ZRR + FN European vote,5042,NA
ZRR + FN European vote,5067,NA
ZRR + FN European vote,5138,NA
ZRR + FN European vote,6040,NA
